cluster,n_bits,n_active_mols,top_fg,top_fg_enrichment
52,16,1624,Indole; Ether; Sulfoxide; Ester; Thiophene,2.20; 2.12; 1.86; 1.63; 1.58
53,6,118,Thiol; Halogen (I); Thiophene; Halogen (Br); Furan,10.65; 4.24; 2.51; 1.90; 1.84
54,5,76,Sulfonamide; Furan; Thiol; Piperazine; Thiophene,9.84; 4.29; 3.31; 2.97; 2.60
55,6,187,Sulfoxide; Piperidine; Halogen (F); Piperazine; Tertiary amine,4.03; 3.68; 2.97; 2.90; 2.30
56,17,726,Thiophene; Sulfonamide; Ketone; Sulfoxide; Halogen (I),2.45; 2.31; 2.24; 2.08; 1.93
57,9,926,Hydroxyl (aliphatic); Halogen (I); Indole; Sulfonamide; Pyrimidine,3.35; 2.16; 1.98; 1.65; 1.45
58,10,1601,Pyridine; Pyrimidine; Thiophene; Sulfoxide; Aromatic amine,3.29; 3.26; 2.28; 2.12; 1.89
59,8,320,Halogen (I); Furan; Aldehyde; Thiophene; Amide,20.03; 2.72; 2.50; 2.47; 1.93
60,3,47,Morpholine; Hydroxyl (aliphatic); Thiophene; Ketone; Piperazine,6.94; 2.19; 2.10; 2.03; 1.92
61,6,168,Indole; Ketone; Piperazine; Pyridine; Piperidine,3.47; 2.78; 2.69; 2.23; 2.05
62,24,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
63,51,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
64,7,160,Sulfone; Halogen (Br); Indole; Cyano; Phenol,6.37; 2.56; 2.08; 1.98; 1.53
65,3,100,Indole; Morpholine; Piperidine; Thiophene; Sulfone,5.83; 4.35; 3.06; 2.96; 2.91
66,13,1198,Thiophene; Furan; Sulfonamide; Ester; Aromatic amine,1.89; 1.63; 1.61; 1.50; 1.48
67,16,723,Thiophene; Indole; Piperidine; Piperazine; Tertiary amine,3.27; 2.65; 2.28; 2.00; 1.94
68,2,50,Furan; Halogen (Br); Piperidine; Thioether; Pyridine,6.52; 5.22; 3.44; 2.36; 1.95
69,8,169,Sulfoxide; Indole; Thiophene; Secondary amine; Thioether,4.46; 3.94; 3.50; 2.75; 2.23
70,27,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
71,11,635,Cyano; Indole; Halogen (I); Sulfoxide; Thiophene,10.10; 2.23; 1.89; 1.78; 1.71
72,15,2571,Indole; Thiophene; Benzene ring; Pyridine; Piperazine,2.27; 1.80; 1.68; 1.66; 1.63
73,16,1224,Halogen (F); Thiophene; Sulfone; Sulfonamide; Pyrimidine,2.81; 2.01; 1.79; 1.78; 1.46
74,19,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
75,13,351,Sulfoxide; Sulfone; Piperidine; Tertiary amine; Furan,5.37; 4.57; 3.54; 2.76; 2.48
