task,cluster,n_bits,mean_rank,rank_std,n_seeds,n_active_mols,top_fg,top_fg_enrichment
NR-AR-LBD,22,13,30.4,10.4546640309481,5,392,Furan; Thioether; Thiophene; Morpholine; Sulfonamide,3.05; 2.59; 2.26; 2.22; 2.00
NR-AR-LBD,62,24,30.8,7.496665925596525,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-AR-LBD,93,16,32.6,17.686152775547317,5,670,Aldehyde; Pyridine; Sulfoxide; Indole; Piperazine,2.39; 1.75; 1.69; 1.62; 1.55
NR-AhR,63,51,0.0,0.0,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-AhR,168,79,2.0,1.2247448713915892,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-AhR,140,19,4.2,3.271085446759225,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
NR-AhR,29,39,4.6,2.302172886644268,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-AhR,23,30,6.2,5.06951674225463,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-AhR,128,42,7.8,2.949576240750525,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-AhR,62,24,8.0,5.1478150704935,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-AhR,145,17,9.6,3.361547262794322,5,537,Sulfoxide; Sulfonamide; Pyridine; Halogen (F); Sulfone,2.81; 2.79; 2.27; 2.12; 1.90
NR-AhR,6,18,10.6,3.2093613071762426,5,1359,Indole; Piperidine; Pyridine; Piperazine; Furan,4.72; 2.52; 2.42; 2.39; 2.24
NR-AhR,21,13,10.6,9.071934744033381,5,338,Sulfoxide; Furan; Indole; Secondary amine; Piperidine,4.46; 2.57; 2.46; 2.16; 2.04
NR-AhR,92,21,13.4,5.941380311005179,5,459,Primary amine; Sulfoxide; Piperidine; Thiophene; Furan,3.55; 2.46; 2.29; 2.15; 1.89
NR-AhR,129,9,13.8,8.64291617453276,5,328,Thiophene; Cyano; Halogen (I); Piperidine; Halogen (Cl),3.01; 2.65; 2.44; 2.39; 1.96
NR-AhR,15,26,15.6,10.96813566655701,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-AhR,24,21,17.2,13.330416347586446,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
NR-AhR,136,18,19.6,14.099645385611653,5,574,Pyrimidine; Thiophene; Indole; Thioether; Halogen (I),5.71; 3.09; 2.76; 2.14; 1.92
NR-AhR,81,19,20.4,10.784247771634329,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
NR-AhR,112,10,20.4,13.464768843169942,5,278,Sulfone; Pyridine; Piperazine; Indole; Pyrimidine,6.29; 2.99; 2.92; 2.70; 2.68
NR-AhR,31,20,21.0,8.06225774829855,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
NR-AhR,190,13,24.6,13.049904214207858,5,793,Secondary amine; Hydroxyl (aliphatic); Morpholine; Aldehyde; Halogen (F),3.62; 2.75; 1.78; 1.48; 1.38
NR-AhR,108,14,26.6,13.427583550289308,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
NR-Aromatase,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-Aromatase,63,51,2.0,1.4142135623730951,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-Aromatase,23,30,2.6,1.9493588689617927,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-Aromatase,29,39,3.0,1.5811388300841898,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-Aromatase,128,42,3.8,1.0954451150103321,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-Aromatase,33,17,6.2,2.16794833886788,5,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
NR-Aromatase,15,26,9.8,5.357238094391549,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-Aromatase,7,33,11.8,7.854934754662192,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-Aromatase,62,24,14.8,8.87130204648675,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-Aromatase,110,20,16.6,9.939818911831342,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
NR-Aromatase,31,20,20.8,10.545141061171254,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
NR-Aromatase,84,15,23.0,15.411035007422441,5,1006,Sulfonamide; Sulfone; Halogen (F); Thiophene; Aromatic amine,6.02; 5.21; 1.86; 1.57; 1.54
NR-Aromatase,140,19,23.2,8.613942186943213,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
NR-Aromatase,24,21,28.4,11.717508267545622,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
NR-Aromatase,219,16,30.0,17.930421077041107,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
NR-Aromatase,10,17,31.0,9.246621004453464,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
NR-ER,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-ER,63,51,2.0,0.7071067811865476,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-ER,23,30,4.4,3.9749213828703582,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-ER,29,39,5.0,3.872983346207417,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-ER,128,42,5.2,3.271085446759225,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-ER,7,33,5.8,4.868264577855235,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-ER,140,19,12.8,7.563068160475615,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
NR-ER,219,16,13.2,10.59245014149229,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
NR-ER,15,26,14.2,8.318653737234168,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-ER,70,27,14.2,13.311649033834987,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-ER,81,19,14.8,11.755849607748475,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
NR-ER,49,17,14.8,14.463747785411636,5,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
NR-ER,113,13,22.2,11.166915420114902,5,250,Sulfone; Halogen (F); Indole; Hydroxyl (aliphatic); Pyridine,2.91; 2.28; 2.00; 1.67; 1.63
NR-ER,126,10,22.8,7.395944834840239,5,395,Indole; Piperidine; Thiophene; Sulfone; Piperazine,5.27; 2.33; 2.25; 1.84; 1.83
NR-ER,10,17,26.4,10.526157893552615,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
NR-ER,39,9,27.4,18.008331405213532,5,263,Aldehyde; Morpholine; Halogen (I); Thiophene; Furan,4.45; 3.31; 2.29; 2.25; 2.07
NR-ER,74,19,32.6,9.126883367283709,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
NR-ER,108,14,32.8,11.734564329364767,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
NR-ER-LBD,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-ER-LBD,128,42,2.0,0.7071067811865476,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-ER-LBD,63,51,3.8,1.6431676725154982,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-ER-LBD,31,20,4.2,3.03315017762062,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
NR-ER-LBD,219,16,5.6,3.646916505762094,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
NR-ER-LBD,46,13,5.6,2.1908902300206643,5,637,Indole; Thiophene; Secondary amine; Primary amine; Piperidine,6.01; 2.32; 1.94; 1.80; 1.77
NR-ER-LBD,23,30,6.6,3.0495901363953815,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-ER-LBD,74,19,7.8,4.324349662087931,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
NR-ER-LBD,29,39,9.6,4.774934554525329,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-ER-LBD,7,33,13.0,3.1622776601683795,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-ER-LBD,108,14,14.2,8.497058314499201,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
NR-ER-LBD,136,18,14.6,14.604793733565703,5,574,Pyrimidine; Thiophene; Indole; Thioether; Halogen (I),5.71; 3.09; 2.76; 2.14; 1.92
NR-ER-LBD,62,24,16.0,4.949747468305833,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-ER-LBD,93,16,16.6,10.573551910309043,5,670,Aldehyde; Pyridine; Sulfoxide; Indole; Piperazine,2.39; 1.75; 1.69; 1.62; 1.55
NR-ER-LBD,69,8,18.0,7.681145747868608,5,169,Sulfoxide; Indole; Thiophene; Secondary amine; Thioether,4.46; 3.94; 3.50; 2.75; 2.23
NR-ER-LBD,15,26,19.2,5.403702434442518,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-ER-LBD,0,20,22.6,17.357995275952806,5,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
NR-ER-LBD,70,27,24.4,13.315404612703288,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-ER-LBD,147,16,24.6,16.667333320000534,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
NR-ER-LBD,81,19,26.6,11.523888232710346,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
NR-ER-LBD,148,14,29.6,12.856904759700136,5,382,Thiophene; Tertiary amine; Cyano; Aldehyde; Sulfone,2.32; 2.09; 1.97; 1.94; 1.91
NR-ER-LBD,64,7,31.6,8.792041856133306,5,160,Sulfone; Halogen (Br); Indole; Cyano; Phenol,6.37; 2.56; 2.08; 1.98; 1.53
NR-ER-LBD,49,17,34.2,6.1400325732035,5,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
NR-PPAR-gamma,168,79,0.4,0.5477225575051662,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-PPAR-gamma,63,51,1.0,0.7071067811865476,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-PPAR-gamma,128,42,3.6,1.8165902124584952,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-PPAR-gamma,29,39,5.0,1.8708286933869707,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
