task,cluster,n_bits,mean_rank,rank_std,n_seeds,n_active_mols,top_fg,top_fg_enrichment
SR-ARE,22,13,31.6,15.388307249337076,5,392,Furan; Thioether; Thiophene; Morpholine; Sulfonamide,3.05; 2.59; 2.26; 2.22; 2.00
SR-ATAD5,168,79,0.4,0.8944271909999159,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
SR-ATAD5,63,51,2.4,1.51657508881031,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
SR-ATAD5,128,42,4.6,1.140175425099138,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
SR-ATAD5,23,30,6.4,4.33589667773576,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
SR-ATAD5,10,17,7.0,7.3484692283495345,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
SR-ATAD5,62,24,8.0,10.464224768228174,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
SR-ATAD5,29,39,8.4,6.308724118235001,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
SR-ATAD5,7,33,10.8,11.861703081766969,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
SR-ATAD5,147,16,12.8,6.942621983083912,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
SR-ATAD5,33,17,13.6,7.700649323271382,5,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
SR-ATAD5,81,19,15.8,3.768288736283354,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
SR-ATAD5,92,21,16.0,7.0,5,459,Primary amine; Sulfoxide; Piperidine; Thiophene; Furan,3.55; 2.46; 2.29; 2.15; 1.89
SR-ATAD5,70,27,16.0,7.14142842854285,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
SR-ATAD5,66,13,18.4,5.319774431308155,5,1198,Thiophene; Furan; Sulfonamide; Ester; Aromatic amine,1.89; 1.63; 1.61; 1.50; 1.48
SR-ATAD5,22,13,19.4,8.018728078691781,5,392,Furan; Thioether; Thiophene; Morpholine; Sulfonamide,3.05; 2.59; 2.26; 2.22; 2.00
SR-ATAD5,74,19,20.4,9.50263121456368,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
SR-ATAD5,140,19,24.0,9.460443964212251,5,374,Indole; Secondary amine; Thiophene; Piperidine; Piperazine,4.01; 3.31; 2.90; 2.25; 2.05
SR-ATAD5,219,16,27.2,9.884331034521253,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
SR-ATAD5,93,16,28.8,11.924764148611073,5,670,Aldehyde; Pyridine; Sulfoxide; Indole; Piperazine,2.39; 1.75; 1.69; 1.62; 1.55
SR-ATAD5,108,14,34.0,10.88577052853862,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
SR-HSE,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
SR-HSE,63,51,2.0,0.7071067811865476,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
SR-HSE,128,42,2.8,1.6431676725154984,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
SR-HSE,7,33,4.8,3.420526275297414,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
SR-HSE,15,26,5.4,1.8165902124584952,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
SR-HSE,29,39,6.4,2.1908902300206643,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
SR-HSE,24,21,8.6,6.6932802122726045,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
SR-HSE,62,24,10.0,9.1104335791443,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
SR-HSE,31,20,11.6,7.700649323271382,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
SR-HSE,23,30,12.4,6.228964600958975,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
SR-HSE,195,11,16.0,9.617692030835673,5,368,Indole; Piperidine; Pyrimidine; Thioether; Piperazine,3.85; 2.24; 2.03; 1.92; 1.72
SR-HSE,245,15,18.6,13.722244714331545,5,686,Piperazine; Pyridine; Sulfone; Thioether; Halogen (F),3.22; 2.56; 2.55; 2.51; 2.41
SR-HSE,81,19,19.2,8.729261137118078,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
SR-HSE,56,17,23.0,4.183300132670378,5,726,Thiophene; Sulfonamide; Ketone; Sulfoxide; Halogen (I),2.45; 2.31; 2.24; 2.08; 1.93
SR-HSE,75,13,24.0,11.067971810589327,5,351,Sulfoxide; Sulfone; Piperidine; Tertiary amine; Furan,5.37; 4.57; 3.54; 2.76; 2.48
SR-HSE,0,20,29.0,9.354143466934854,5,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
SR-HSE,110,20,29.4,16.75708805252273,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
SR-HSE,46,13,29.8,13.349157276772193,5,637,Indole; Thiophene; Secondary amine; Primary amine; Piperidine,6.01; 2.32; 1.94; 1.80; 1.77
SR-HSE,64,7,30.2,10.183319694480774,5,160,Sulfone; Halogen (Br); Indole; Cyano; Phenol,6.37; 2.56; 2.08; 1.98; 1.53
SR-HSE,52,16,31.0,12.144957801491119,5,1624,Indole; Ether; Sulfoxide; Ester; Thiophene,2.20; 2.12; 1.86; 1.63; 1.58
SR-HSE,74,19,32.2,10.52140675005011,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
SR-HSE,6,18,35.8,12.537942414925984,5,1359,Indole; Piperidine; Pyridine; Piperazine; Furan,4.72; 2.52; 2.42; 2.39; 2.24
SR-HSE,147,16,37.0,11.811011811017716,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
SR-MMP,63,51,0.2,0.447213595499958,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
SR-MMP,168,79,1.0,0.7071067811865476,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
SR-MMP,23,30,5.0,4.636809247747852,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
SR-MMP,128,42,5.4,3.4351128074635335,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
SR-MMP,29,39,6.4,5.079370039680118,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
SR-MMP,15,26,7.6,4.03732584763727,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
SR-MMP,136,18,8.0,5.1478150704935,5,574,Pyrimidine; Thiophene; Indole; Thioether; Halogen (I),5.71; 3.09; 2.76; 2.14; 1.92
SR-MMP,7,33,8.4,2.4083189157584592,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
SR-MMP,51,10,12.8,9.67987603226405,5,200,Pyrimidine; Thiophene; Sulfone; Furan; Sulfoxide,3.73; 2.96; 2.91; 2.72; 1.89
SR-MMP,74,19,14.8,7.918333157931662,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
SR-MMP,113,13,17.4,16.92040188648012,5,250,Sulfone; Halogen (F); Indole; Hydroxyl (aliphatic); Pyridine,2.91; 2.28; 2.00; 1.67; 1.63
SR-MMP,110,20,20.0,6.519202405202649,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
SR-MMP,49,17,21.6,12.720062892926277,5,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
SR-MMP,147,16,23.0,17.435595774162696,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
SR-MMP,62,24,24.4,9.762171889492624,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
SR-MMP,219,16,27.2,9.038805230781334,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
SR-MMP,81,19,28.4,13.520355024924458,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
SR-MMP,195,11,34.0,3.6742346141747677,5,368,Indole; Piperidine; Pyrimidine; Thioether; Piperazine,3.85; 2.24; 2.03; 1.92; 1.72
SR-MMP,108,14,34.6,5.549774770204643,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
SR-p53,168,79,0.0,0.0,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
SR-p53,63,51,1.8,1.0954451150103321,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
SR-p53,23,30,2.6,0.5477225575051661,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
SR-p53,29,39,3.8,1.6431676725154984,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
SR-p53,128,42,5.0,2.449489742783178,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
SR-p53,15,26,12.4,7.092249290598858,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
SR-p53,24,21,13.2,10.545141061171254,5,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
SR-p53,39,9,13.6,12.817956155331473,5,263,Aldehyde; Morpholine; Halogen (I); Thiophene; Furan,4.45; 3.31; 2.29; 2.25; 2.07
SR-p53,7,33,14.4,10.261578825892242,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
SR-p53,74,19,15.8,11.966620241321273,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
SR-p53,46,13,19.6,16.47118696390761,5,637,Indole; Thiophene; Secondary amine; Primary amine; Piperidine,6.01; 2.32; 1.94; 1.80; 1.77
SR-p53,108,14,20.4,14.570518178843194,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
SR-p53,148,14,21.6,9.838699100999074,5,382,Thiophene; Tertiary amine; Cyano; Aldehyde; Sulfone,2.32; 2.09; 1.97; 1.94; 1.91
SR-p53,219,16,24.4,11.653325705565772,5,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
SR-p53,147,16,25.8,10.756393447619885,5,575,Sulfoxide; Piperidine; Indole; Pyridine; Tertiary amine,5.90; 2.96; 2.46; 2.12; 2.09
SR-p53,92,21,25.8,14.11382301150188,5,459,Primary amine; Sulfoxide; Piperidine; Thiophene; Furan,3.55; 2.46; 2.29; 2.15; 1.89
SR-p53,93,16,27.8,12.696456198483101,5,670,Aldehyde; Pyridine; Sulfoxide; Indole; Piperazine,2.39; 1.75; 1.69; 1.62; 1.55
SR-p53,67,16,28.4,4.61519230368573,5,723,Thiophene; Indole; Piperidine; Piperazine; Tertiary amine,3.27; 2.65; 2.28; 2.00; 1.94
