cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
145,17,Hydroxyl (aliphatic) / Primary amine,low-MW fragment,Hydroxyl (aliphatic); Primary amine; Ether; Amide; Halogen (Cl),[#6]-[#6](-[#6](:[#6]:[#6]):[#6]:[#6])-[#6]; [#6]-[#6](-[#6])-[#6](:[#6]:[#6]):[#6]:[#6]; [#7]-[#6@H](-[#8]-[#6@H](-[#6])-[#6@@H])-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,85.05
146,5,Thioether / Hydroxyl (aliphatic),low-MW fragment,Thioether; Hydroxyl (aliphatic); Ether; Ketone; Amide,[#6]:[#6](:[#6]):[#6](:[#6](:[#8]):[#6]):[#6]:[#6]; [#6]=[#6]-[#6]-[#7](:[#6]):[#6]; [#7]-[#6](=[#8])-[#6]=[#6]-[#6@],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,188.55
147,16,Primary amine / Amide,low-MW fragment,Primary amine; Amide; Hydroxyl (aliphatic); Thioether; Halogen (Cl),[#7+]-[#6]; [#6]-[#6](:[#6]):[#6](:[#6](:[#6]):[#7H]):[#6](:[#6])-[#6]; [#7]:[#7]:[#6]:[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,78.73333333333333
148,14,Tertiary amine / Primary amine,low-MW fragment,Tertiary amine; Primary amine; Hydroxyl (aliphatic); Thiol; Amide,[#7]-[#6](:[#6]:[#6]:[#6]):[#6]; [#7]-[#6](:[#6]):[#6]:[#6]:[#6]; [#6]-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,70.25
149,2,Ether / Amide,low-MW fragment,Ether; Amide; Primary amine; Ketone,[#6]=[#6]-[#6]=[#6]-[#6]; [#6]:[#6](-[#8]-[#6](=[#8])-[#6]):[#6]; [#6]-[#7]-[#6](=[#8])-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,168.25
150,3,Primary amine / Tertiary amine,low-MW fragment,Primary amine; Tertiary amine; Ester; Ether; Cyano,[#6]:[#6]:[#6](:[#6]:[#6]):[#6](:[#6]):[#7]; [#6]-[#6](-[#6])-[#6](-[#8]-[#6])=[#8]; [#7]#[#6]-[Fe-2](-[#6])(-[#6])(-[#6])(-[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,155.15
151,2,Halogen (F) / Secondary amine,low-MW fragment,Halogen (F); Secondary amine; Primary amine; Hydroxyl (aliphatic); Ether,[#6]-[#6](:[#6]):[#6]:[#6](:[#6])-[#9]; [#7]:[#6](-[#6](:[#6]:[#6]):[#6]:[#6]):[#8]; [#6]-[#6]-[#7]-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,239.4
152,3,Ester / Ether,low-MW fragment,Ester; Ether; Thiol; Amide; Tertiary amine,[#6]-[#8]-[#6](=[#8])-[#6](:[#6]):[#6]; [#8]=[#6](-[#8]-[#6])-[#6](:[#6]):[#6]; [#7]-[#6](-[#6])=[#6](-[#6]-[#7+])-[#6]-[#16],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,201.68333333333334
153,2,Halogen (Cl) / Halogen (F),low-MW fragment,Halogen (Cl); Halogen (F); Primary amine; Secondary amine,[#6]:[#6](-[#7]-[#6]-[#6]):[#6]; [#6]-[#6](-[#6])(-[#6])-[#6]; [#6]-[#6]-[#6]-[#17],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,186.45
154,5,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Thiol; Halogen (Cl),[#6]-[#8]-[#6]; [#6]:[#7](-[#6]):[#6]; [#6]-[#7](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,105.86666666666666
155,3,Ketone / Secondary amine,low-MW fragment,Ketone; Secondary amine; Hydroxyl (aliphatic); Thiol; Primary amine,[#6](-[#6@H])-[#6]-[#6](=[#8])-[#6@]; [#6]-[#7]-[#6]-[#6](-[#6])-[#8]; [#6]:[#6](:[#6](:[#6]:[#6]):[#6](:[#6]):[#7])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,161.85
156,2,Ether / Amide,low-MW fragment,Ether; Amide; Thiol; Halogen (Cl),[#7]-[#6](=[#8])-[#6](:[#6]:[#6]):[#7H]:[#6]; [#6]:[#7](-[#6@H](-[#6]-[#16])-[#8]-[#6@H]):[#6]; [#7]-[#6](:[#6](-[#17]):[#6]:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,254.76666666666668
