cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
192,3,Amide / Ketone,low-MW fragment,Amide; Ketone; Hydroxyl (aliphatic); Carboxylic acid,[#6]-[#6]=[#6]; [#6]-[#6](=[#8])-[#7]-[#6](:[#6]):[#6]; [#6]:[#6](-[#7]-[#6](-[#6])=[#8]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,190.93333333333334
193,9,Halogen (Cl) / Thiol,HB-donor-rich; flat/aromatic; flexible,Halogen (Cl); Thiol; Halogen (Br); Ester; Ether,[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]; [#16]-[#6](=[#16])-[#7]; [#7]-[#6](=[#16])-[#16],Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,344.4,1.5,3,5,93.8,2,0.32,85.38333333333334
194,3,Primary amine / Hydroxyl (aliphatic),low-MW fragment,Primary amine; Hydroxyl (aliphatic); Halogen (Br); Thioether,[#6]:[#6]:[#7]:[#6](-[#6]):[#6]; [#6]-[#6](=[#6])-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]=[#6](-[#6])-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,173.73333333333332
195,11,Ether / Primary amine,low-MW fragment,Ether; Primary amine; Hydroxyl (aliphatic); Thiol; Ester,[#6]-[#6]-[#7]; [#6](-[#6@])-[#7]; [#6]-[#6](=[#8])-[#8]-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,95.16666666666667
196,4,Halogen (F) / Hydroxyl (aliphatic),low-MW fragment,Halogen (F); Hydroxyl (aliphatic); Ether; Halogen (Cl); Ester,[#6]-[#6]-[#6]-[#8]; [#6]-[#8]-[#6](=[#8])-[#6]-[#6]; [#7]-[#7]-[#6](=[#8])-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,142.26666666666668
197,3,Amide / Ether,low-MW fragment,Amide; Ether; Hydroxyl (aliphatic); Thiol; Secondary amine,[#6]-[#6@@](-[#6@H])(-[#6@@H])-[#6@@H]; [#6]-[#6]-[#6](-[#8]-[#6])-[#6]-[#6]; [#7]=[#6](-[#7])-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,211.08333333333334
198,3,Carboxylic acid / Ether,low-MW fragment,Carboxylic acid; Ether; Secondary amine; Amide,[#6]:[#6]:[#6](:[#6](:[#6])-[#6])-[#6](-[#8])=[#8]; [#8]=[#6](-[#8])-[#6](:[#6](-[#6]):[#6]):[#6]:[#6]; [#6]-[#7]-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,173.1
199,2,Ether / Primary amine,low-MW fragment,Ether; Primary amine; Amide,[#6]:[#6](:[#6](-[#6](-[#6])-[#6]):[#6](-[#8]):[#6]):[#6]; [#6]=[#6](-[#6@H])-[#6]; [#6](-[#6@@H])(=[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,280.06666666666666
200,8,Primary amine / Amide,low-MW fragment,Primary amine; Amide; Ether; Ester; Hydroxyl (aliphatic),[#6]-[#6](-[#6])-[#7]; [#6]-[#6@@H](-[#6])-[#7]; [#7]-[#6]-[#6]-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,158.43333333333334
201,4,Amide / Primary amine,low-MW fragment,Amide; Primary amine; Thiol; Halogen (F); Tertiary amine,[#7H]:[#6]:[#7]; [#7]-[#6](=[#8])-[#6]; [#7]:[#6]:[#7H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,99.58333333333333
202,3,Amide / Carboxylic acid,low-MW fragment,Amide; Carboxylic acid; Cyano; Thiol; Primary amine,[#7]-[#6](:[#6](-[#6]):[#6]):[#6](:[#6])-[#6]; [#8]-[#6](:[#6]):[#6]:[#6](:[#6])-[#6]; [#8]-[Cr](-[#8])-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,193.95
203,4,Ketone / Halogen (I),HB-donor-rich; flat/aromatic; flexible,Ketone; Halogen (I); Carboxylic acid; Halogen (Cl); Hydroxyl (aliphatic),[#6]-[#6](-[#6])(-[#6])-[#6]; [#6]=[#6](-[#6]=[#6]-[#6@H])-[#6@@H]; [#6]:[#6](-[#53]):[#6](-[#6](=[#8])-[#8-]):[#6](-[#53]):[#6],Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,344.4,1.5,3,5,93.8,2,0.32,196.55
204,7,Primary amine / Amide,low-MW fragment,Primary amine; Amide; Secondary amine; Tertiary amine; Ester,[#6]-[#6]-[#7]; [#7]-[#6]-[#6]; [#7]#[#6]-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,110.48333333333333
205,3,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Tertiary amine; Amide; Ketone,[#7]-[#6](=[#8])-[#6@H](-[#6]-[#6])-[#7](-[#6])-[#6]; [#6]-[#6](-[#6])(-[#8])-[#8]-[#6@@H](-[#6@@H])-[#6@H]; [#6]-[#6@@H](-[#8])-[#6@@H](-[#6])-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,176.61666666666667
206,4,Hydroxyl (aliphatic) / Thiol,low-MW fragment,Hydroxyl (aliphatic); Thiol; Ether; Primary amine; Amide,[#6]-[#7](-[#6](=[#8])-[#6]-[#7])-[#6]; [#16]:[#6](-[#6]):[#6]:[#6](-[#6]):[#6]; [#6]-[#7](-[#6]-[#6@H](-[#6])-[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,175.36666666666667
207,2,Halogen (Cl) / Hydroxyl (aliphatic),low-MW fragment,Halogen (Cl); Hydroxyl (aliphatic); Ketone; Primary amine; Ether,[In]-[#17]; [#7+]-[#8-]; [#6](-[#6@])(=[#8])-[#6]-[#17],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,193.55
208,3,Halogen (I) / Carboxylic acid,low-MW fragment,Halogen (I); Carboxylic acid; Hydroxyl (aliphatic),[As]-[#8]; [#6]:[#6]:[#6](-[#53]):[#6](-[#7]):[#6]; [#6]:[#6](-[#8]):[#6](:[#6]:[#6]):[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,191.88333333333333
209,7,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Ester; Sulfoxide; Halogen (I),[#6]-[#6](:[#6]):[#8]:[#6]:[#6]; [#6]:[#6]:[#6]:[#6]:[#8]; [#6]-[#6](=[#8])-[#8]-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,116.9
210,6,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Thiol; Thioether,[#16]-[#16]-[#6]-[#6]-[#6]; [#16]-[#16]-[#7](-[#6]-[#6])-[#6]-[#6]; [#8]-[#6@H](-[#6@H])-[#6@H](-[#8]-[#6])-[#6@H](-[#8])-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,174.16666666666666
211,13,Carboxylic acid / Primary amine,low-MW fragment,Carboxylic acid; Primary amine; Thioether; Ether; Thiol,[#6]:[#6](-[#7]):[#6]; [#7]-[#6](:[#6]):[#6]; [#7]-[#6](:[#6]:[#6]:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,45.55
212,7,Ether / Halogen (Cl),low-MW fragment,Ether; Halogen (Cl); Ester; Primary amine; Hydroxyl (aliphatic),[Si]-[#8]-[#6]-[#6]; [#6]:[#6](-[#6]):[#6]:[#6](-[#17]):[#6]; [#6]-[#6]-[#8]-[Si],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,144.15
213,4,Ketone / Amide,low-MW fragment,Ketone; Amide; Thiol,[#6]-[#6](-[#6])-[#6]; [#6]-[#6@H](-[#6@@H])-[#6]; [#6]-[#6@H](-[#6])-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,143.45
214,2,Thiol / Halogen (Cl),low-MW fragment,Thiol; Halogen (Cl); Hydroxyl (aliphatic); Ketone,[#16]-[#6](:[#6]:[#6]:[#6]):[#6]; [#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17]; [#6]:[#7]:[#6](:[#6]:[#6]):[#6](:[#6]):[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,222.23333333333332
215,4,Ketone / Thiol,low-MW fragment,Ketone; Thiol; Thioether,[#6]:[#6]:[#6](=[#8]):[#6](:[#6]):[#6]; [#6]:[#6](:[#6](=[#8]):[#6]:[#6]):[#6]; [#6]:[#6](-[#16]-[#6](:[#7]):[#6]):[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,186.95
216,2,Halogen (Cl) / Primary amine,low-MW fragment,Halogen (Cl); Primary amine; Hydroxyl (aliphatic),[#6]=[#6](-[#17])-[#17]; [#6]-[#6](:[#6]:[#6](-[#8]):[#6]):[#6]; [#6]:[#6](-[#8]):[#6]:[#6](-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,265.65
217,4,Thiol / Halogen (Cl),low-MW fragment,Thiol; Halogen (Cl); Primary amine; Hydroxyl (aliphatic); Ester,[#16]-[#8]; [#6]:[#6]:[#6]:[#6](-[#17]):[#6]; [#6]-[#6]-[#6]-[#6]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,73.83333333333333
218,3,Halogen (Cl),low-MW fragment,Halogen (Cl),[#6]-[#6](-[#6])-[#6]; [#6]-[#6]-[#6]-[#7+](-[#6])(-[#6])-[#6]; [#6]-[#7+](-[#6])(-[#6]-[#6]-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,177.18333333333334
219,16,Hydroxyl (aliphatic) / Ketone,low-MW fragment,Hydroxyl (aliphatic); Ketone; Primary amine; Amide; Ether,[#6]-[#7]; [#7]-[#6]; [#6]:[#6](-[#16](=[#8])(=[#8])-[#8-]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,61.766666666666666
220,2,Halogen (Cl) / Halogen (F),low-MW fragment,Halogen (Cl); Halogen (F); Halogen (I),[#8]-[#15](=[#16])(-[#8])-[#8]-[#6](:[#6]):[#6]; [#6]-[#6](-[#6])(-[#6](:[#6]:[#6]):[#6]:[#6])-[#6]; [#6]-[#6](-[#6])(-[#6])-[#6](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,226.4
221,6,Halogen (Br) / Sulfonamide,low-MW fragment,Halogen (Br); Sulfonamide; Hydroxyl (aliphatic); Amide,[#6]:[#6](-[#35]):[#6]; [#6]=[#6](-[#6])-[#6]; [#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,79.8
222,4,Amide / Ether,low-MW fragment,Amide; Ether; Hydroxyl (aliphatic),[#15]=[#8]; [#6]-[#6](=[#8])-[#7]; [#7]-[#6](=[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,57.13333333333333
223,2,Amide / Thiol,low-MW fragment,Amide; Thiol; Tertiary amine; Ketone,[#6]-[#6]-[#7](-[#6]-[#6])-[#6](-[#6])=[#8]; [#7](-[#6@@H])-[#6](=[#8])-[#6@H](-[#6])-[#16]; [#6](-[#6@H])(-[#6])(-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,208.2
224,2,Tertiary amine / Hydroxyl (aliphatic),low-MW fragment,Tertiary amine; Hydroxyl (aliphatic); Ester; Ether,[#6]-[#7](-[#6]-[#6]-[#6])-[#6]; [#6]-[#7](-[#6])-[#6]-[#6]-[#6]; [#6]=[#7]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,175.13333333333333
225,6,Primary amine / Tertiary amine,low-MW fragment,Primary amine; Tertiary amine; Ether; Ester; Hydroxyl (aliphatic),[#6]-[#7](-[#6])-[#6]; [#7]-[#8]-[#6]; [#6]-[#8]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,123.43333333333334
226,2,Halogen (F) / Thioether,low-MW fragment,Halogen (F); Thioether,[#7]-[#6](:[#6](-[#9]):[#6]:[#6]):[#6]; [#6]-[#6](=[#8])-[#16]-[#6]; [#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#9],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,227.31666666666666
227,3,Hydroxyl (aliphatic) / Tertiary amine,low-MW fragment,Hydroxyl (aliphatic); Tertiary amine; Primary amine; Thiol,[#7]-[#6]-[#6]-[#8]; [#8]-[#6]-[#6]-[#7]; [#6]-[#7](-[#7])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,169.88333333333333
228,4,Halogen (F) / Primary amine,low-MW fragment,Halogen (F); Primary amine; Ether; Amide; Cyano,[#6]-[#6](-[#9])(-[#9])-[#9]; [#6]-[#6](-[#6])(-[#6]-[#6]-[#7])-[#6]; [#6]-[#6](-[#6])(-[#6])-[#6]-[#6]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,207.8
229,7,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Ketone; Nitro group; Primary amine,[#6]-[#8]-[#6@H]; [#6]-[#8]-[#6@@H]; [#6]-[#6](=[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,157.83333333333334
230,3,Thiol / Hydroxyl (aliphatic),low-MW fragment,Thiol; Hydroxyl (aliphatic); Halogen (F),[#6]-[#7](-[#6])-[#16]; [#6]:[#6](:[#6]):[#7](:[#6]:[#6])-[#6]; [#6]:[#6]:[#7](-[#6]):[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,223.38333333333333
231,8,Halogen (Cl) / Secondary amine,low-MW fragment,Halogen (Cl); Secondary amine; Hydroxyl (aliphatic); Ketone; Tertiary amine,[#6]-[#6](:[#6]):[#6]:[#7]:[#6]; [#7]:[#6]:[#6]; [#6]:[#6]:[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,42.53333333333333
232,2,Secondary amine / Nitro group,low-MW fragment,Secondary amine; Nitro group; Hydroxyl (aliphatic); Carboxylic acid; Halogen (Cl),[#6]-[#6]-[#7]-[#6]; [#6]-[#7]-[#6]-[#6]; [#7]:[#6](-[#7+](=[#8])-[#8-]):[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,226.98333333333332
233,6,Hydroxyl (aliphatic) / Carboxylic acid,low-MW fragment,Hydroxyl (aliphatic); Carboxylic acid; Ether; Halogen (Br); Ketone,[#6]-[#6](-[#6])-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]-[#6@](-[#8])(-[#6@H])-[#6@]; [#6]-[#6]-[#6](=[#8])-[#8]-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,100.95
234,2,Amide / Primary amine,low-MW fragment,Amide; Primary amine,[#6]-[#6](=[#8])-[#7](-[#6](:[#6]):[#6])-[#7](-[#6])-[#6]; [#6]-[#7](-[#6])-[#7](-[#6](:[#6]):[#6])-[#6](=[#8])-[#6]; [#6]-[#6](=[#8])-[#7]-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,180.46666666666667
235,5,Thiol / Secondary amine,low-MW fragment,Thiol; Secondary amine; Ketone; Tertiary amine; Ether,[#6]-[#6]-[#6]-[#6](=[#8])-[#6]; [#6]-[#7]-[#6]-[#7](-[#6])-[#6]; [#6]-[#6](=[#6]-[#6](=[#6])-[#6@@H])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,173.21666666666667
236,3,Secondary amine / Amide,low-MW fragment,Secondary amine; Amide; Primary amine; Ether,[#7]-[#6](=[#8])-[#6@H](-[#6]-[#6])-[#7]-[#6]; [#7]-[#6](=[#8])-[#6@@H](-[#6]-[#6])-[#7]-[#6]; [#7+](-[#6@H])(-[#6])(-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,219.18333333333334
237,2,Halogen (F) / Halogen (I),low-MW fragment,Halogen (F); Halogen (I); Ketone,[#6]-[#6](:[#7]):[#6]; [#7]:[#6](-[#6]):[#6]; [#6]-[#6](-[#9])(-[#9])-[#9],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,230.38333333333333
238,1,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether,[#8]-[#6@@](-[#6])(-[#8]-[#6]-[#6@@H])-[#6@@H]; [#15]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6]; [#6]:[#6]:[#6](-[#6]-[#8]):[#6](-[#7+]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,222.33333333333334
239,3,Thiol / Primary amine,low-MW fragment,Thiol; Primary amine,[#6]-[#6]-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]:[#6]:[#6](-[#6]-[#6]):[#6]:[#6]; [#6]=[#6](-[#6]-[#7+](:[#6]):[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,201.26666666666668
240,1,Ether,low-MW fragment,Ether,[#6]-[#6]-[#6]; [#6]=[#6]-[#8]-[#6]-[#6]; [#6]-[#6]-[#8]-[#6]=[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,229.76666666666668
241,3,Primary amine / Tertiary amine,low-MW fragment,Primary amine; Tertiary amine; Hydroxyl (aliphatic); Ether,[#6]-[#6](:[#6]):[#6]:[#6](:[#6]):[#6]; [#6]-[#6]-[#6](-[#6]-[#6])-[#7](-[#6])-[#6]; [#7]:[#6](-[#6]-[#6@@H](-[#6])-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,221.98333333333332
242,6,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Amide; Carboxylic acid; Primary amine,[#6]-[#6]-[#7]; [#6]=[#6]-[#6](-[#6])(-[#6])-[#8]; [#6]:[#7]:[#6](-[#8]-[#6]):[#7]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,124.65
243,2,Hydroxyl (aliphatic) / Thiol,low-MW fragment,Hydroxyl (aliphatic); Thiol; Amide,[#6]=[#6]-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]-[#7](-[#6]-[#6@H](-[#8])-[#6@@H])-[#6@@H]; [#6]:[#6](:[#16])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,196.78333333333333
244,1,Tertiary amine,low-MW fragment,Tertiary amine,[#6]-[#7](-[#6]-[#6])-[#6]-[#6]; [#6]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6]; [#6]-[#6]-[#6](=[#8])-[#8]-[AlH3],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,298.1666666666667
245,15,Ether / Primary amine,low-MW fragment,Ether; Primary amine; Hydroxyl (aliphatic); Amide; Halogen (F),[#6]-[#6]-[#6]-[#6]-[#7]; [#6]-[#6]-[#7](:[#6]:[#6]):[#6]:[#7+]; [#6]-[#7](-[#6](-[#6](:[#6]):[#6])-[#6](:[#6]):[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,58.3
246,3,Carboxylic acid / Hydroxyl (aliphatic),low-MW fragment,Carboxylic acid; Hydroxyl (aliphatic); Amide; Ether,[#6]-[#6](=[#8])-[#8]; [#8]=[#6](-[#8])-[#6]; [#6]:[#6](-[#8-]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,156.13333333333333
247,4,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Secondary amine,[#7]:[#6](:[#6]:[#6]:[#6]):[#7]; [#6]-[#6](:[#7]):[#6](:[#8]:[#6])-[#6]-[#8]; [#6]:[#6](-[#6](:[#8]:[#6]):[#6](:[#7])-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,135.01666666666668
248,2,Halogen (Cl),low-MW fragment,Halogen (Cl),[#6]-[#17]; [#17]-[#6]; [#6]=[#6]-[#6](=[#8])-[#8-],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,91.18333333333334
249,3,Ether / Amide,low-MW fragment,Ether; Amide; Ketone; Hydroxyl (aliphatic),[#6]:[#8]:[#6]:[#6]:[#6]; [#6]:[#6]:[#6]:[#8]:[#6]; [#7]-[#6](=[#8])-[#7]-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,146.5
250,4,Ether / Amide,low-MW fragment,Ether; Amide; Ester; Hydroxyl (aliphatic),[#6]-[#8]-[#6]; [#6]-[#6]-[#8]-[#6](:[#6]):[#6]; [#6]-[#8]-[#6@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,113.03333333333333
251,3,Ether / Amide,low-MW fragment,Ether; Amide; Halogen (Cl); Halogen (I); Ester,[#6]-[#6](-[#17])-[#6]; [#6]-[#6](:[#6]):[#6](:[#7]:[#6])-[#8]-[#6]; [#7]-[#6](:[#6](-[#53]):[#6](-[#7]):[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,191.88333333333333
252,4,Ether / Hydroxyl (aliphatic),low-MW fragment,Ether; Hydroxyl (aliphatic); Amide,[#6]-[#6]-[#8]-[#6]; [#6]-[#6](:[#6]):[#6]; [#6]:[#6](-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,55.61666666666667
253,1,Nitro group / Primary amine,low-MW fragment,Nitro group; Primary amine; Ether,[#6]=[#7]-[#7+](=[#8])-[#8-]; [#7]-[#6]-[#6]; [#6]-[#6](:[#6]):[#6](:[#6](:[#6])-[#8])-[#8]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,271.9166666666667
254,2,Secondary amine / Hydroxyl (aliphatic),low-MW fragment,Secondary amine; Hydroxyl (aliphatic); Ether,[#8]-[#6](:[#6]:[#6]:[#6]):[#6]; [#6]:[#6]:[#6]:[#6](-[#8]):[#6]; [#6]-[#7]-[#6]-[#6](-[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,153.28333333333333
255,2,Halogen (Cl) / Tertiary amine,low-MW fragment,Halogen (Cl); Tertiary amine; Ester; Ether,[#6]:[#6](-[#17]):[#6]; [#7]:[#6]:[#6]:[#7](-[#6]):[#6]; [#6]-[#7](-[#6])-[#6@@H](-[#6](:[#6]):[#6])-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,131.18333333333334
256,2,Ether / Primary amine,low-MW fragment,Ether; Primary amine; Tertiary amine,[#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6]; [#6]:[#6]:[#6](-[#8]-[#6]):[#6](-[#6]):[#6]; [#6]-[#6](:[#7]:[#7]:[#6]):[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,234.1
257,8,Hydroxyl (aliphatic) / Carboxylic acid,low-MW fragment,Hydroxyl (aliphatic); Carboxylic acid; Halogen (Cl); Thioether; Ketone,[#6]=[#6]-[#6]-[#8]; [#8]-[#6](=[#8])-[#17]; [#6]-[#16]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,91.96666666666667
258,3,Ether / Thioether,low-MW fragment,Ether; Thioether; Halogen (F),[#16]:[#6](-[#6]):[#7]; [#6]-[#6](-[#6])(-[#6](=[#8])-[#7]=[#6])-[#6]; [#6]-[#6](:[#7]):[#16],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,208.6
259,2,Ether / Tertiary amine,low-MW fragment,Ether; Tertiary amine; Halogen (Br); Primary amine; Carboxylic acid,[#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6@H]; [#6]-[#7](-[#6])-[#6]; [#6]:[#6](:[#6](:[#6]:[#6])-[#8]-[#6])-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,227.81666666666666
260,5,Hydroxyl (aliphatic) / Primary amine,low-MW fragment,Hydroxyl (aliphatic); Primary amine; Nitro group; Ether; Thiol,[#6]-[#7+](=[#8])-[#8-]; [#7]-[#6@@H](-[#6]-[#6]-[#6@@])-[#6@H]; [#8]=[#7+](-[#8-])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,221.53333333333333
261,3,Ether / Ester,low-MW fragment,Ether; Ester; Hydroxyl (aliphatic); Halogen (Br),[#8]-[#6](:[#6]):[#6](:[#6]:[#6])-[#35]; [#6]:[#6](-[#6]-[#8]):[#6]; [#6]-[#8]-[#6]-[#6@@H](-[#8])-[#6@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,243.18333333333334
262,3,Amide / Hydroxyl (aliphatic),low-MW fragment,Amide; Hydroxyl (aliphatic); Ether; Nitro group; Ketone,[#6]-[#6](-[#6]-[#6]-[#6])-[#6]; [#6]-[#6](-[#6])-[#6]-[#6]-[#6]; [#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#7+](=[#8])-[#8-],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,202.11666666666667
